symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
AC002075.2	9.052160681	0.228719054	0.332648389	0.118396643	0.348065676
AC002076.1	0				
AC002090.1	0				
AC002091.1	0.032938258	-0.001006793	0.274193691	0.98256985	
AC002091.2	0				
AC002094.1	32.24162957	-0.06501545	0.267091224	0.47217645	0.728539119
AC002094.2	0.495192343	0.009711709	0.271923178	0.773674001	
AC002094.3	0.104268334	0.013220664	0.274411487	0.77944009	
AC002094.4	0.482824564	-0.017452035	0.272291938	0.703007854	
AC002094.5	0				
AC002101.1	0				
AC002115.1	0.362940327	0.020269941	0.274553004	0.51823716	
AC002116.1	67.58669578	-0.08716485	0.217287087	0.529939685	0.768492359
AC002116.2	1.701491148	0.057144269	0.27898473	0.235698105	
AC002127.1	0				
AC002128.1	0				
AC002128.2	0				
AC002306.1	0				
AC002310.1	17.38804717	-0.043918174	0.217180407	0.742480601	0.888779314
AC002310.2	2.391711423	0.121041093	0.30273299	0.106450301	0.32871027
AC002310.3	0				
AC002310.4	47.48679839	-0.043268469	0.271789963	0.482471014	0.736328393
AC002310.5	2.300874213	-0.053813121	0.267299824	0.517065369	0.759684853
AC002331.1	0				
AC002347.1	0.861840561	0.068079517	0.282814254	0.157967639	
AC002347.2	0.097471366	-0.012322694	0.27436673	0.813161858	
AC002350.1	0				
AC002350.2	2.303608621	-0.060721881	0.272153142	0.418822743	0.69073557
AC002351.1	0				
AC002368.1	0				
AC002375.1	0				
AC002377.1	0.115647344	0.009317814	0.274137842	0.87998732	
AC002378.1	0.065741063	-0.0010535	0.274191899	0.98256985	
AC002381.1	0				
AC002383.1	0				
AC002386.1	0				
AC002398.1	0				
AC002398.2	0.688728406	-0.01462588	0.272403349	0.813598421	
AC002401.1	0				
AC002401.2	0.032938258	-0.001006793	0.274193691	0.98256985	
AC002401.3	0.115119612	-0.012714137	0.274405535	0.813161858	
AC002401.4	1.932531033	0.153105851	0.325650674	0.061010896	
AC002407.1	0				
AC002428.1	0				
AC002428.2	0				
AC002429.1	0				
AC002451.1	2.818107659	0.07010132	0.286179719	0.040817912	0.187320147
AC002451.2	0.098814775	-0.001097954	0.274190022	0.982570966	
AC002456.1	11.34165262	0.007712313	0.261915361	0.923175889	0.96768161
AC002456.2	0.285147391	0.010083933	0.274189202	0.876728942	
AC002458.1	0				
AC002460.1	0				
AC002460.2	0.146792629	0.005517792	0.273687191	0.883435407	
AC002463.1	0.211832415	-0.001158885	0.274186109	0.979405325	
AC002464.1	0				
AC002465.1	0				
AC002467.1	23.67883578	0.085615792	0.228270995	0.529770685	0.768360187
AC002470.1	4.328861384	-0.081028232	0.262297736	0.456168682	0.717324525
AC002470.2	4.058503107	-0.035969978	0.274566915	0.391355442	0.667735016
AC002472.1	0.141343657	-0.013247849	0.274461591	0.813161858	
AC002472.2	3.729906734	0.046452681	0.270640822	0.502499762	0.749758743
AC002472.3	0.268130694	0.001971529	0.273209893	0.982210854	
AC002472.4	0				
AC002480.1	12.80790236	0.015381517	0.26529402	0.829824108	0.927362033
AC002480.2	5.247844463	0.07432589	0.279665659	0.283782503	0.569122033
AC002486.1	0				
AC002486.2	0				
AC002487.1	0				
AC002511.1	0				
AC002511.2	0				
AC002511.3	0				
AC002519.1	0.926149496	-0.009472799	0.270744714	0.795985236	
AC002519.2	0.401309487	-0.042505454	0.277864325	0.364231986	
AC002525.1	0				
AC002529.1	0				
AC002540.1	0				
AC002542.1	0				
AC002542.2	0				
AC002542.3	0				
AC002542.4	0				
AC002542.5	0				
AC002542.6	0.158100585	-0.01091008	0.274260816	0.913231593	
AC002543.1	0				
AC002545.1	0				
AC002546.1	0.115237068	-0.010772047	0.274250547	0.915678117	
AC002550.1	0.487845167	-0.020510837	0.272693705	0.649839906	
AC002550.2	2.689312401	-0.046647699	0.264841485	0.582622196	0.801667814
AC002551.1	0.085152852	0.009694264	0.274159221	0.87980571	
AC002553.1	0.803836279	0.028009259	0.272748498	0.587410247	
AC002553.2	1.676137278	0.109251365	0.298635371	0.08276998	
AC002558.1	1.359391491	-0.036975549	0.272589604	0.482553321	
AC002558.2	0				
AC002558.3	1.748323087	0.001227775	0.267087289	0.983559342	
AC002563.1	0.065741063	-0.0010535	0.274191899	0.98256985	
AC002984.1	0				
AC002985.1	3.426936059	-0.146939382	0.305940806	0.158315696	0.413447369
AC002996.1	46.044252	-0.036259514	0.273177895	0.463547691	0.721968304
AC003001.1	0				
AC003001.2	0				
AC003002.1	0				
AC003002.2	0.701890661	0.024238441	0.27457964	0.510541882	
AC003002.3	3.915596248	0.016009639	0.261876273	0.842658927	0.933094076
AC003005.1	30.80336586	0.002949791	0.235630571	0.982169297	0.993189076
AC003005.2	0.780474227	-0.016175507	0.270766883	0.681709674	
AC003006.1	1.25051519	-0.01540592	0.271618917	0.711937736	
AC003009.1	0				
AC003035.1	0.180810695	-0.010798146	0.274252582	0.915956125	
AC003035.2	0				
AC003043.1	0.038652561	-0.001017292	0.274193287	0.98256985	
AC003043.2	0				
AC003044.1	0				
AC003070.1	0.095609243	-0.009932049	0.274194227	0.916290864	
AC003070.2	0				
AC003071.1	0				
AC003072.1	23.2121748	0.041745119	0.232957497	0.742629474	0.888797205
AC003072.2	0.063802279	0.010919671	0.274233302	0.880016398	
AC003077.1	0.152785698	0.007198356	0.273780127	0.864036729	
AC003080.1	0.096432372	0.001082247	0.273618627	0.98282197	
AC003084.1	0				
AC003086.1	10.63061513	-0.116486705	0.251947952	0.377503337	0.655854314
AC003087.1	0				
AC003092.1	1.678535933	0.050620027	0.280093435	0.09620789	
AC003092.2	0.072330061	-0.010711698	0.274245753	0.913074904	
AC003093.1	0.395723836	-0.019077966	0.273432351	0.675524933	
AC003098.1	0.052134167	0.010378384	0.274196959	0.880016398	
AC003101.1	0.364548965	0.030821457	0.275977812	0.521860597	
AC003101.2	4.307398761	-0.021856369	0.264032357	0.77183753	0.902626447
AC003101.3	0				
AC003102.1	50.27099361	0.071983828	0.239299112	0.573200119	0.796131444
AC003109.1	0				
AC003657.1	0.052134167	0.010378384	0.274196959	0.880016398	
AC003659.1	0				
AC003666.1	0				
AC003669.1	0				
AC003681.1	3.331429352	0.152820256	0.308560787	0.154714279	0.408801932
AC003682.1	0.35423842	0.001526231	0.272249629	0.972529808	
AC003684.1	0.038652561	-0.001017292	0.274193287	0.98256985	
AC003685.1	0				
AC003686.1	0				
AC003687.1	0				
AC003688.1	0				
AC003688.2	0				
AC003950.1	0				
AC003956.1	0.115597118	0.013498628	0.274439644	0.779471928	
AC003957.1	0.595546709	0.032138858	0.276222601	0.432675313	
AC003958.1	0				
AC003958.2	0				
AC003965.1	3.072033109	0.067543403	0.269719883	0.440633832	0.706301103
AC003965.2	0				
AC003973.1	0.186207965	-0.002557982	0.273600811	0.932472242	
AC003973.2	9.202558045	-0.026994425	0.274115189		
AC003975.1	0.367515748	-0.034974221	0.275214429	0.463309384	
AC003982.1	0				
AC003984.1	0				
AC003985.1	0				
AC003986.1	0.110550199	-0.001105162	0.2741899	0.982570581	
AC003986.2	0.958301066	0.026996895	0.27009125	0.633752408	
AC003986.3	4.229327269	-0.225116651	0.352960244	0.096029305	0.309982995
AC003988.1	0				
AC003989.1	0				
AC003989.2	0				
AC003991.1	0.263241968	0.010480848	0.274029854	0.851323877	
AC003992.1	0.068965282	-0.001070959	0.274191848	0.98256985	
AC004000.1	0.58472894	0.009383666	0.270693397	0.835613545	
AC004004.1	0				
AC004006.1	0				
AC004009.1	0				
AC004009.2	0				
AC004009.3	0				
AC004012.1	0.17438811	0.007295015	0.273782945	0.877235834	
AC004014.1	0				
AC004014.2	0.496123134	0.018930972	0.27305968	0.603069895	
AC004022.1	0				
AC004022.2	0				
AC004023.1	0				
AC004024.1	0.116191595	-0.000678165	0.273616814	0.983112593	
AC004034.1	0				
AC004039.1	0.716796058	0.033986296	0.274458896	0.497027702	
AC004047.1	0				
AC004052.1	0				
AC004053.1	0				
AC004054.1	0				
AC004057.1	2363.554935	-0.132777921	0.270143489	0.299157617	0.584367492
AC004062.1	0				
AC004063.1	0				
AC004066.1	0				
AC004067.1	0.450054493	0.036432105	0.276553415	0.486698191	
AC004069.1	1.676773224	0.042988079	0.271693374	0.480940366	
AC004069.2	0				
AC004069.3	0				
AC004076.1	1.834861927	-0.01171256	0.268193555	0.839524363	
AC004076.2	5.810761426	0.026633712	0.260985278	0.754365754	0.893845074
AC004079.1	0				
AC004079.2	0				
AC004079.3	0				
AC004079.4	0				
AC004079.5	0				
AC004080.1	0				
AC004080.10	0				
AC004080.11	0				
AC004080.12	0				
AC004080.13	0				
AC004080.14	0				
AC004080.15	0				
AC004080.16	0				
AC004080.17	0				
AC004080.2	0				
AC004080.3	0				
AC004080.4	0				
AC004080.5	0				
AC004080.6	0				
AC004080.7	0				
AC004080.8	0				
AC004080.9	0				
AC004083.1	1.789340955	-0.020615592	0.268989476	0.716935026	
AC004112.1	0.134708991	-0.001121872	0.274189295	0.982570583	
AC004125.1	0				
AC004129.1	0.142144565	-0.012705339	0.274405145	0.812705967	
AC004129.2	0				
AC004129.3	0				
AC004130.1	0				
AC004130.2	3.533541319	-0.023806396	0.26089577	0.778289994	0.9053936
AC004134.1	0.038652561	-0.001017292	0.274193287	0.98256985	
AC004147.1	0				
AC004147.2	0				
AC004147.3	0				
AC004147.4	0				
AC004147.5	0				
AC004148.1	11.73694208	0.040751502	0.235410526	0.743137989	0.888940327
AC004156.1	9.906006116	0.058135251	0.238322796	0.642472696	0.835522282
AC004158.1	0				
AC004160.1	29.06718925	0.417983553	0.46620157	0.036929191	0.17559826
AC004160.2	2.512227102	0.028090595	0.266249171	0.691254381	0.86160699
AC004217.1	0				
AC004217.2	0				
AC004221.1	1.44380617	0.082069095	0.28147922	0.255255186	
AC004223.1	0				
AC004223.2	0.558357101	0.042844461	0.277439432	0.446233023	
AC004223.3	0.115957682	-0.001099634	0.274189468	0.982571147	
AC004223.4	0.655305456	-0.0365132	0.272352342	0.502553664	
AC004224.1	0.048476503	-0.001032093	0.274192702	0.98256985	
AC004224.2	6.962504269	0.005688841	0.268122078	0.921066661	0.966750446
AC004231.1	0.54790052	-0.05622663	0.279981183	0.189221694	
AC004231.3	0				
AC004232.1	0				
AC004232.2	2.26428578	0.069690124	0.272054429	0.411030662	0.685118379
AC004233.1	0				
AC004233.2	0				
AC004233.3	0.460527695	0.007656554	0.272295095	0.805806906	
AC004241.1	16.06272193	-0.003151282	0.21785603	0.979638696	0.992507848
AC004241.2	0.763106793	-0.066876375	0.284692791	0.120723755	
AC004241.3	4.879626707	-0.605629959	0.902211864	0.018025649	0.112520641
AC004241.4	0.107054586	0.010527726	0.274213359	0.878679946	
AC004241.5	1.010838317	-0.012231123	0.268834328	0.830359291	
AC004253.1	0				
AC004253.2	0				
AC004257.1	0				
AC004263.1	0.631658894	0.045991529	0.278287827	0.389107401	
AC004263.2	1.381941468	0.034611512	0.267370184	0.626532728	
AC004264.1	0.200428344	0.013399485	0.274456537	0.780105681	
AC004264.2	3.162578487	-0.103909188	0.288968519	0.200800533	0.472322467
AC004381.1	0.06557795	0.010984534	0.274237883	0.881657899	
AC004381.2	0				
AC004381.3	0				
AC004381.4	0.222702024	-0.001172121	0.274187417	0.982572206	
AC004386.1	0				
AC004386.2	0				
AC004386.3	0				
AC004386.4	0				
AC004386.5	0				
AC004386.6	0				
AC004408.1	0.130311023	0.009583118	0.274154118	0.879290614	
AC004408.2	0.326528102	-0.004400817	0.272697707	0.896727687	
AC004415.1	0				
AC004448.1	0				
AC004448.2	0				
AC004448.3	0.032938258	-0.001006793	0.274193691	0.98256985	
AC004448.4	0				
AC004448.5	0.08418878	0.011649238	0.274288081	0.880016398	
AC004449.1	1.527558318	-0.001371221	0.274175328	0.963184297	
AC004453.1	0.890494433	-0.017046847	0.271154799	0.700259738	
AC004461.1	0.048476503	-0.001032093	0.274192702	0.98256985	
AC004461.2	2.14766919	0.013705607	0.263135392	0.855051978	0.938624795
AC004464.1	0				
AC004466.1	9.07871654	0.16918584	0.304541531	0.174897029	0.437032226
AC004466.2	2.084979541	0.130113478	0.309715788	0.085308503	0.28827585
AC004466.3	0.032938258	-0.001006793	0.274193691	0.98256985	
AC004467.1	0				
AC004470.1	0				
AC004470.2	0.068965282	-0.001070959	0.274191848	0.98256985	
AC004471.1	0.119875216	0.000994604	0.273615805	0.988366289	
AC004471.2	0.192851505	0.007837322	0.273818111	0.879431793	
AC004477.1	0.09911127	-0.009948069	0.274195289	0.915811695	
AC004477.2	0.977532862	-0.056364942	0.275773271	0.354714398	
AC004485.1	0				
AC004486.1	0				
AC004490.1	0.229455991	-0.014855633	0.274213036	0.876738447	
AC004491.1	0.147641689	0.001458356	0.27361985	0.985662983	
AC004492.1	5.899564044	0.013339059	0.255012768	0.88860694	0.953898068
AC004494.1	1.89560245	0.045303412	0.273277151	0.391496986	
AC004494.2	0				
AC004510.1	0				
AC004510.2	0				
AC004522.1	0				
AC004522.2	0				
AC004522.3	0.327114658	-0.022708534	0.273422738	0.667569152	
AC004522.4	0.468657684	-0.017524326	0.272957703	0.665053188	
AC004522.5	3.890232955	0.192997824	0.336458366	0.106167269	0.32814431
AC004528.1	0.20858684	-0.004593954	0.273666687	0.915727586	
AC004528.2	1.407353116	0.001786938	0.264874964	0.979191752	
AC004540.1	1.115280787	-0.079037124	0.284499003	0.189725945	
AC004540.2	0.045083047	-0.001006066	0.274192795	0.98256985	
AC004542.1	0.076963252	-0.009576316	0.274173245	0.916796356	
AC004542.2	0.338107934	-0.005158013	0.273343002	0.894028843	
AC004542.3	0				
AC004542.4	0				
AC004542.5	0				
AC004542.6	0				
AC004543.1	0				
AC004549.1	0				
AC004551.1	0				
AC004554.1	0.575549159	0.005599454	0.270519447	0.901563079	
AC004584.1	0				
AC004584.2	0				
AC004584.3	1.287738073	-0.037200232	0.271787847	0.496694771	
AC004585.1	1.22831587	0.110106803	0.306316882	0.009489495	
AC004585.2	0				
AC004590.1	0.286655774	-0.006479796	0.273426187	0.894213378	
AC004593.1	0				
AC004593.2	0				
AC004594.1	0				
AC004596.1	0				
AC004597.1	0				
AC004623.1	0.296716092	0.012804737	0.274389886	0.776767321	
AC004636.1	0				
AC004637.1	0				
AC004672.1	0				
AC004672.2	0				
AC004674.1	0				
AC004678.1	2.119897697	0.022491414	0.265701251	0.747562531	0.890776008
AC004678.2	0.544252528	0.04133354	0.276482071	0.360074281	
AC004687.1	0.099646967	0.010334944	0.274200877	0.8807461	
AC004687.2	2.620182097	-0.034376312	0.264427641	0.661500929	0.845862479
