symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ABBA01045074.1	0				
ABBA01045074.2	0				
ABCA1	580.7744059	0.285055566	0.421662182	0.083480247	0.26149748
ABCA10	20.5673284	0.416633677	0.419810642	0.049655097	0.189118486
ABCA11P	77.97346292	0.364608225	0.296835945	0.062432193	0.217739408
ABCA12	3.667581756	0.377923252	0.684368439	0.016101718	0.090027142
ABCA13	304.2195567	-0.110825926	0.322812014	0.243492529	0.499314396
ABCA17P	1.033246276	-0.091490873	0.32636081	0.115727063	
ABCA2	3114.642394	0.041163815	0.212759049	0.795702095	0.911446901
ABCA3	27.30191726	0.301827606	0.413723791	0.085994507	0.265762046
ABCA4	7.342500425	-0.046462754	0.292811117	0.660725094	0.841061349
ABCA5	479.3504362	0.348959617	0.255242317	0.057006732	0.205584875
ABCA6	146.8459324	3.407673673	0.686596962	3.28446E-08	5.69433E-06
ABCA7	247.0151818	0.936290694	0.58629725	0.005586463	0.043783956
ABCA8	68.59489838	0.038258114	0.2768687	0.771964645	0.901208715
ABCA9	27.57512545	2.500515487	0.819956191	7.78093E-05	0.001978524
ABCA9-AS1	0.423099879	0.027334975	0.311020741	0.628715148	
ABCB1	6.47933982	0.057148592	0.304270765	0.512812211	0.747067678
ABCB10	573.9195402	0.170034906	0.145051242	0.18565508	0.427976079
ABCB10P1	0				
ABCB10P3	0.070671829	-0.001606658	0.31188858	0.926015701	
ABCB10P4	0				
ABCB11	1.067383617	-0.028169232	0.312311951	0.65549313	
ABCB4	10.52939368	-0.206893504	0.358942749	0.139364038	0.359162875
ABCB5	0.048476503	0.012586314	0.311841329	0.971089085	
ABCB6	1384.747915	-0.570382633	0.273545855	0.006128179	0.046477564
ABCB7	598.2398566	-0.260944504	0.192952232	0.094510943	0.281913838
ABCB8	1149.227891	-0.05346957	0.207313672	0.730127029	0.880453219
ABCB9	331.9696791	0.041317679	0.20371232	0.798925445	0.912714055
ABCC1	2632.142137	0.196810169	0.172250429	0.177575319	0.417526903
ABCC10	1051.574657	0.509672509	0.225854047	0.005248726	0.041739107
ABCC11	4.867335122	-0.056269572	0.290626457	0.628910312	0.820681794
ABCC12	1.221100919	-0.098365444	0.32294447	0.223877916	
ABCC13	0				
ABCC2	64.79356624	-0.005056892	0.282674386	0.962760861	0.985738559
ABCC3	2632.38469	-0.05700855	0.271403099	0.718566097	0.875792621
ABCC4	2254.919142	0.245284543	0.210655317	0.133495268	0.350496088
ABCC5	850.5946361	0.33148769	0.224815739	0.053999491	0.19894649
ABCC5-AS1	0				
ABCC6	30.72116438	0.399174956	0.377736004	0.056639313	0.20471735
ABCC6P1	18.75782936	-0.057246779	0.270294253	0.682317389	0.853747667
ABCC6P2	9.890201141	0.097851515	0.269512286	0.519732262	0.751875276
ABCC8	0.177133902	0.009733562	0.311686052	0.991263355	
ABCC9	15.11545094	-0.05112392	0.288216773	0.658674036	0.839735289
ABCD1	524.8541835	-0.013349903	0.138440693	0.913314641	0.964777408
ABCD1P2	0.08418878	-0.015339692	0.312106759	0.824347748	
ABCD1P3	0				
ABCD1P4	0				
ABCD1P5	0				
ABCD2	1.037917653	0.019246676	0.306012625	0.763480271	
ABCD3	1152.789165	0.070788541	0.13820241	0.569354956	0.785371401
ABCD4	903.3858056	0.365872154	0.148270675	0.005601453	0.043845014
ABCE1	2566.17563	-0.229634768	0.187045291	0.131799376	0.347697097
ABCF1	3166.387579	0.296848809	0.184682934	0.051657032	0.193891791
ABCF2	1708.254806	0.016181307	0.187459437	0.915908059	0.965812119
ABCF2-H2BE1	581.5649315	-0.106235372	0.19541761	0.487680311	0.728464651
ABCF2P1	0.265098809	-0.026435812	0.3129542	0.661083396	
ABCF2P2	0				
ABCF3	1694.997853	0.176614283	0.139051197	0.155752429	0.383945295
ABCG1	4.490530949	0.02499828	0.313391223		
ABCG2	14.74966826	1.29400439	0.736418693	0.00285837	0.027343997
ABCG4	93.20980906	0.01961524	0.228264415	0.9020168	0.960484667
ABCG5	0				
ABCG8	0.068965282	0.0138549	0.311931902	0.971089085	
ABHD1	5.229566796	-0.096433253	0.293146839	0.454081707	0.702196296
ABHD10	666.7658406	-0.304911993	0.174705805	0.039020871	0.161391924
ABHD11	238.4432595	0.027237808	0.180449456	0.857932283	0.940696306
ABHD11-AS1	7.827160416	-0.039068327	0.293902814	0.711427271	0.872434611
ABHD12	1570.795103	0.092583919	0.169427757	0.519984483	0.751949988
ABHD12B	7.41687172	-0.050024228	0.303184356	0.563234571	0.781252682
ABHD13	586.5340384	0.566658034	0.137780189	7.70799E-06	0.000370019
ABHD14A	299.9919665	0.21292526	0.17073031	0.143483296	0.366090074
ABHD14A-ACY1	27.92726257	-0.035054139	0.273948447	0.790946119	0.909887126
ABHD14B	1338.662703	-0.197498414	0.194219125	0.20260857	0.449751136
ABHD15	450.1019319	0.174146157	0.170124836	0.225528614	0.478230998
ABHD15-AS1	0				
ABHD16A	847.6040822	0.281039136	0.160617639	0.04310706	0.17247757
ABHD16B	1.205402135	0.051596854	0.30355344	0.568262156	
ABHD17A	3130.478213	-0.065403749	0.180003769	0.65526801	0.837583158
ABHD17AP1	0.348850963	-0.007075004	0.309222624	0.885327484	
ABHD17AP3	0.31824361	0.006670859	0.310624208	0.96197065	
ABHD17AP4	0.762449844	-0.030949429	0.311168713	0.412115309	
ABHD17AP5	0.988153454	0.029810149	0.306677147	0.667784572	
ABHD17AP6	0.188696155	0.011287106	0.311765609	0.969510069	
ABHD17AP7	0				
ABHD17AP8	0				
ABHD17AP9	0				
ABHD17B	417.6728178	0.031593772	0.187014856	0.834223735	0.930649161
ABHD17C	718.7679937	0.396301867	0.427297733	0.057935112	0.207825374
ABHD18	229.5637242	0.070848112	0.119128149	0.520903739	0.752324863
ABHD2	8754.056888	-0.397513101	0.360473065	0.054850124	0.200565784
ABHD3	132.6174868	0.131634259	0.2021265	0.40357326	0.657698663
ABHD4	1955.289723	0.20312484	0.271941216	0.238622426	0.494255654
ABHD5	745.8818949	0.994813211	0.26549448	1.47487E-05	0.000597494
ABHD6	257.0182994	0.218473223	0.168277657	0.126860092	0.338325834
ABHD8	620.8499339	-0.014069412	0.195264749	0.925254296	0.969261527
ABI1	1518.696423	-0.088202894	0.11794777	0.418675337	0.671348516
ABI1P1	0				
ABI2	2020.725146	-0.253623614	0.156949621	0.06168015	0.215880262
ABI3	45.64504269	-0.208726402	0.389805592	0.076479442	0.248011398
ABI3BP	889.528241	-0.688763595	0.585036886	0.014647213	0.084553997
ABITRAM	334.8092364	-0.090618664	0.148545337	0.493117683	0.733159985
ABITRAMP1	0				
ABL1	5990.896124	-0.073781634	0.125879077	0.518644642	0.751234365
ABL2	2487.353966	-0.512951074	0.447630357	0.02961566	0.134650482
ABLIM1	51.20608807	-0.951408183	0.584371148	0.005036478	0.04057421
ABLIM2	7.458262865	0.173942839	0.316962889	0.2487318	0.505316261
ABLIM3	2449.355846	-0.092520389	0.258554073	0.567919288	0.784216089
ABO	0				
ABR	4577.426394	0.094553632	0.170061615	0.507759741	0.743937091
ABRA	0				
ABRACL	475.3469939	-0.259587588	0.194306488	0.097896556	0.287911671
ABRAXAS1	668.403472	0.169300981	0.198962171	0.281415626	0.53992473
ABRAXAS2	614.9226153	0.130311895	0.093448668	0.144094446	0.366890797
ABT1	824.4416223	0.122691932	0.139565053	0.315363829	0.574379441
ABT1P1	0.098010586	0.011390855	0.311769994	0.971221479	
ABTB1	1372.391815	0.310934222	0.352719002	0.101472614	0.294064409
ABTB2	327.9618232	0.061653027	0.204521797	0.692727122	0.86100424
AC000032.1	0.146999807	0.010257143	0.311710075	0.969288939	
AC000035.1	0.066226844	0.01374053	0.311922738	0.970687872	
AC000036.1	0.067604912	-0.014635717	0.312040952	0.824347748	
AC000041.1	0				
AC000050.1	0				
AC000058.1	0.12893905	-0.003976754	0.311109088	0.926903282	
AC000061.1	0				
AC000065.1	0				
AC000065.2	0.619156393	0.01930678	0.308578442	0.62750546	
AC000067.1	0.070671829	-0.001606658	0.31188858	0.926015701	
AC000068.1	5.388019702	-0.030428983	0.288831124	0.784979921	0.907315814
AC000068.2	0.557380702	0.079655919	0.324136032	0.200512744	
AC000068.3	0.966142833	0.045542708	0.30927909	0.508899931	
AC000072.1	0.681452909	0.059187013	0.313251446	0.389032937	
AC000077.1	0				
AC000078.1	2.129213506	-2.513606556	1.554835937	0.002157874	0.022211916
AC000081.1	0				
AC000081.2	0				
AC000082.1	0				
AC000085.1	12.3782668	0.083676264	0.287520828	0.531057647	0.759408815
AC000089.1	5.507439633	-0.078383731	0.278425479	0.575221591	0.788950657
AC000093.1	928.7291304	0.081878216	0.231843013	0.604088852	0.806939947
AC000095.1	0.697519886	0.064273576	0.320727293	0.129369476	
AC000095.2	0				
AC000111.1	0				
AC000111.2	0				
AC000113.1	0				
AC000120.1	2.748357245	0.161618245	0.345141469	0.15976392	0.389757821
AC000120.2	0.39977243	2.83013E-05	0.310337474	0.961494489	
AC000120.3	22.88946834	-0.059991115	0.315626394	0.284822361	0.542949236
AC000123.1	0				
AC000123.2	7.520691016	0.081043955	0.272087443	0.577118251	0.790053945
AC000123.3	53.34750376	0.371595904	0.325820344	0.063900494	0.221018627
AC000124.1	0				
AC000362.1	0				
AC000367.1	0				
AC000372.1	0				
AC000374.1	0				
AC000403.1	20.02616296	0.893128028	0.32983247	0.000617442	0.008970006
AC001226.1	0.414895656	-0.026518922	0.309061711	0.642640967	
AC001226.2	10.15194675	-0.047986897	0.268504353	0.731632373	0.881319778
AC002044.1	0				
AC002044.2	0.772361886	-0.002594531	0.305889861	0.964655648	
AC002044.3	0.209728204	0.017553624	0.3123021	0.748335539	
AC002056.1	0.094014455	0.016290194	0.312126629	0.867986082	
AC002056.2	0				
AC002057.1	0				
AC002057.2	0				
AC002059.1	0.430819409	0.056928275	0.317743168	0.343307277	
AC002059.2	0.68402107	-0.02495119	0.310271886	0.572521844	
AC002059.3	0.198060256	0.007925509	0.311235134	0.997369653	
AC002064.1	1.092308715	0.077602183	0.31680892	0.29655783	
AC002064.2	0				
AC002064.3	0				
AC002066.1	6.078429934	-0.259806025	0.422920676	0.07008438	0.235199187
AC002069.1	0				
AC002069.2	0				
AC002069.3	0				
AC002069.4	0				
AC002070.1	1.08894357	0.09560701	0.322827357	0.231665318	
AC002072.1	0				
AC002074.1	20.39288876	-0.063665907	0.275428033	0.641470222	0.828354663
AC002074.2	1.419223861	-0.153955416	0.357601438	0.054314259	0.199396066
AC002075.1	0				
AC002075.2	9.052160681	-0.132397202	0.283004286	0.385982675	0.641510423
AC002076.1	0				
AC002090.1	0				
AC002091.1	0.032938258	0.011251929	0.311764239	0.971089085	
AC002091.2	0				
AC002094.1	32.24162957	-0.156381336	0.337647186	0.192414668	0.437037128
AC002094.2	0.495192343	-0.049361549	0.3149723	0.351313096	
AC002094.3	0.104268334	-0.017171661	0.312289796	0.725547051	
AC002094.4	0.482824564	0.008983992	0.308299791	0.914172845	
AC002094.5	0				
AC002101.1	0				
AC002115.1	0.362940327	-0.03402432	0.314207365	0.36361153	
AC002116.1	67.58669578	-0.309753781	0.289983578	0.099465233	0.290731734
AC002116.2	1.701491148	-0.087943829	0.324871313	0.142361951	0.363892898
AC002127.1	0				
AC002128.1	0				
AC002128.2	0				
AC002306.1	0				
AC002310.1	17.38804717	-0.028644765	0.23148132	0.852871539	0.938498696
AC002310.2	2.391711423	0.277542484	0.451826909	0.055628752	0.202530363
AC002310.3	0				
AC002310.4	47.48679839	0.065635341	0.311109742	0.411054742	0.664082125
AC002310.5	2.300874213	0.053308588	0.297594315	0.609088747	0.809137153
AC002331.1	0				
AC002347.1	0.861840561	0.003908639	0.303736853	0.958322992	
AC002347.2	0.097471366	-0.001666955	0.311886702	0.92601499	
AC002350.1	0				
AC002350.2	2.303608621	0.039366117	0.299013021	0.677994647	0.851216213
AC002351.1	0				
AC002368.1	0				
AC002375.1	0				
AC002377.1	0.115647344	0.002313405	0.31106107	0.925957844	
AC002378.1	0.065741063	0.013710145	0.311920428	0.971089085	
AC002381.1	0				
AC002383.1	0				
AC002386.1	0				
AC002398.1	0				
AC002398.2	0.688728406	0.098419307	0.329464311	0.110410508	
AC002401.1	0				
AC002401.2	0.032938258	0.011251929	0.311764239	0.971089085	
AC002401.3	0.115119612	-0.001682741	0.311886051	0.92601499	
AC002401.4	1.932531033	0.086719553	0.304436926	0.439877688	0.690286815
AC002407.1	0				
AC002428.1	0				
AC002428.2	0				
AC002429.1	0				
AC002451.1	2.818107659	-0.007392961	0.306569308	0.889664345	0.954507903
AC002451.2	0.098814775	0.016889557	0.312184781	0.811728032	
AC002456.1	11.34165262	-0.083428773	0.308576854	0.392936333	0.647577846
AC002456.2	0.285147391	0.011286723	0.311392387	0.745752059	
AC002458.1	0				
AC002460.1	0				
AC002460.2	0.146792629	-0.017108408	0.312286824	0.72717288	
AC002463.1	0.211832415	0.026175604	0.313006089	0.638043803	
AC002464.1	0				
AC002465.1	0				
AC002467.1	23.67883578	-0.117602163	0.24692616	0.465046476	0.710025107
AC002470.1	4.328861384	0.246423781	0.368753982	0.136224437	0.35441666
AC002470.2	4.058503107	-0.021483209	0.307945915	0.700827202	0.866469469
AC002472.1	0.141343657	-0.00170337	0.311885157	0.92601499	
AC002472.2	3.729906734	0.109668358	0.323792996	0.244373022	0.500142171
AC002472.3	0.268130694	-0.012512558	0.311054853	0.786010618	
AC002472.4	0				
AC002480.1	12.80790236	-0.166475236	0.366196201	0.060508157	0.213421736
AC002480.2	5.247844463	-0.248203956	0.467233871	0.006079457	0.046258562
AC002486.1	0				
AC002486.2	0				
AC002487.1	0				
AC002511.1	0				
AC002511.2	0				
AC002511.3	0				
AC002519.1	0.926149496	0.099179388	0.326966628	0.121979815	
AC002519.2	0.401309487	0.046391083	0.315114753	0.52835076	
AC002525.1	0				
AC002529.1	0				
AC002540.1	0				
AC002542.1	0				
AC002542.2	0				
AC002542.3	0				
AC002542.4	0				
AC002542.5	0				
AC002542.6	0.158100585	0.014877442	0.312014676	0.867622438	
AC002543.1	0				
AC002545.1	0				
AC002546.1	0.115237068	0.011434904	0.311772945	0.969995772	
AC002550.1	0.487845167	0.006952727	0.308315978	0.9230113	
AC002550.2	2.689312401	0.30289192	0.476445674	0.055374087	0.201883488
AC002551.1	0.085152852	-0.003109732	0.311088494	0.92559205	
AC002553.1	0.803836279	0.05252518	0.311173817	0.433824153	
AC002553.2	1.676137278	0.10027475	0.316917997	0.312515384	0.571224861
AC002558.1	1.359391491	0.061342687	0.312728187	0.367148015	0.62435401
AC002558.2	0				
AC002558.3	1.748323087	0.051159734	0.306984221	0.513404581	0.747567246
AC002563.1	0.065741063	0.013710145	0.311920428	0.971089085	
AC002984.1	0				
AC002985.1	3.426936059	-0.026892668	0.289766249	0.808821485	0.916839236
AC002996.1	46.044252	-0.029668017	0.306952519	0.643789863	0.829673409
AC003001.1	0				
AC003001.2	0				
AC003002.1	0				
AC003002.2	0.701890661	0.010276938	0.309437615	0.809615404	
AC003002.3	3.915596248	0.062866672	0.30013914	0.54596865	0.769541931
AC003005.1	30.80336586	0.057350916	0.261988722	0.697725766	0.864687942
AC003005.2	0.780474227	0.025919773	0.306932839	0.63126403	
AC003006.1	1.25051519	0.034245685	0.30990409	0.524004508	
AC003009.1	0				
AC003035.1	0.180810695	0.016266961	0.312152077	0.79488385	
AC003035.2	0				
AC003043.1	0.038652561	0.011815381	0.311794451	0.971089085	
AC003043.2	0				
AC003044.1	0				
AC003070.1	0.095609243	0.011539881	0.311778749	0.969380034	
AC003070.2	0				
AC003071.1	0				
AC003072.1	23.2121748	0.074662472	0.25656864	0.626951328	0.819399724
AC003072.2	0.063802279	-0.014508138	0.312028492	0.824347748	
AC003077.1	0.152785698	-0.017497457	0.312335657	0.718379213	
AC003080.1	0.096432372	-0.014103547	0.311994216	0.82454869	
AC003084.1	0				
AC003086.1	10.63061513	0.062732134	0.255875563	0.67663826	0.850735236
AC003087.1	0				
AC003092.1	1.678535933	-0.012695037	0.308233903	0.793528175	0.910961042
AC003092.2	0.072330061	-0.001608904	0.31188847	0.926015687	
AC003093.1	0.395723836	0.022469765	0.310397701	0.696951905	
AC003098.1	0.052134167	-0.013884454	0.311975498	0.824347748	
AC003101.1	0.364548965	-0.008737605	0.30967897	0.865974798	
AC003101.2	4.307398761	1.389875884	1.250192513	0.006480001	0.048393542
AC003101.3	0				
AC003102.1	50.27099361	0.944505599	0.468038295	0.00272705	0.026363159
AC003109.1	0				
AC003657.1	0.052134167	-0.013884454	0.311975498	0.824347748	
AC003659.1	0				
AC003666.1	0				
AC003669.1	0				
AC003681.1	3.331429352	-0.06208168	0.287567034	0.615149303	0.812248142
AC003682.1	0.35423842	-0.005914984	0.309138107	0.870348305	
AC003684.1	0.038652561	0.011815381	0.311794451	0.971089085	
AC003685.1	0				
AC003686.1	0				
AC003687.1	0				
AC003688.1	0				
AC003688.2	0				
AC003950.1	0				
AC003956.1	0.115597118	-0.017372574	0.312319323	0.725578183	
AC003957.1	0.595546709	0.012390683	0.30955911	0.784561999	
AC003958.1	0				
AC003958.2	0				
AC003965.1	3.072033109	-0.100169272	0.309408588	0.370643621	0.628009467
AC003965.2	0				
AC003973.1	0.186207965	-0.015315008	0.312104776	0.815594399	
AC003973.2	9.202558045	-0.000129017	0.308167223		
AC003975.1	0.367515748	0.009537959	0.30928315	0.948790077	
AC003982.1	0				
AC003984.1	0				
AC003985.1	0				
AC003986.1	0.110550199	0.016883201	0.312190387	0.866181548	
AC003986.2	0.958301066	-0.035030207	0.30570629	0.628530544	
AC003986.3	4.229327269	0.037061918	0.278667962	0.774280121	0.90201537
AC003988.1	0				
AC003989.1	0				
AC003989.2	0				
AC003991.1	0.263241968	-0.019226602	0.312580707	0.711907597	
AC003992.1	0.068965282	0.0138549	0.311931902	0.971089085	
AC004000.1	0.58472894	-0.035637178	0.309771152	0.560788739	
AC004004.1	0				
AC004006.1	0				
AC004009.1	0				
AC004009.2	0				
AC004009.3	0				
AC004012.1	0.17438811	-0.017867291	0.312384502	0.724224948	
AC004014.1	0				
AC004014.2	0.496123134	-0.022758144	0.309835786	0.658682954	
AC004022.1	0				
AC004022.2	0				
AC004023.1	0				
AC004024.1	0.116191595	-0.014129156	0.311996211	0.824612933	
AC004034.1	0				
AC004039.1	0.716796058	0.046263442	0.310162171	0.440428223	
AC004047.1	0				
AC004052.1	0				
AC004053.1	0				
AC004054.1	0				
AC004057.1	2363.554935	-0.029187141	0.262644613	0.833801747	0.930615138
AC004062.1	0				
AC004063.1	0				
AC004066.1	0				
AC004067.1	0.450054493	0.015690554	0.309013943	0.758377832	
AC004069.1	1.676773224	-0.023854995	0.301502989	0.766856286	0.898871943
AC004069.2	0				
AC004069.3	0				
AC004076.1	1.834861927	0.047589821	0.307220249	0.533225544	0.76090099
AC004076.2	5.810761426	0.147986979	0.332907266	0.208685593	0.457197343
AC004079.1	0				
AC004079.2	0				
AC004079.3	0				
AC004079.4	0				
AC004079.5	0				
AC004080.1	0				
AC004080.10	0				
AC004080.11	0				
AC004080.12	0				
AC004080.13	0				
AC004080.14	0				
AC004080.15	0				
AC004080.16	0				
AC004080.17	0				
AC004080.2	0				
AC004080.3	0				
AC004080.4	0				
AC004080.5	0				
AC004080.6	0				
AC004080.7	0				
AC004080.8	0				
AC004080.9	0				
AC004083.1	1.789340955	0.072596776	0.313650692	0.354260853	0.613276462
AC004112.1	0.134708991	0.017629435	0.312275778	0.866033579	
AC004125.1	0				
AC004129.1	0.142144565	0.010158386	0.311705379	0.970760945	
AC004129.2	0				
AC004129.3	0				
AC004130.1	0				
AC004130.2	3.533541319	-0.055246925	0.297722918	0.598270024	0.802718808
AC004134.1	0.038652561	0.011815381	0.311794451	0.971089085	
AC004147.1	0				
AC004147.2	0				
AC004147.3	0				
AC004147.4	0				
AC004147.5	0				
AC004148.1	11.73694208	-0.034651312	0.253646857	0.815855789	0.921164796
AC004156.1	9.906006116	0.385408777	0.379457957	0.064227254	0.221677439
AC004158.1	0				
AC004160.1	29.06718925	-0.461262283	0.450744886	0.039925599	0.163962634
AC004160.2	2.512227102	-0.029093732	0.298773135	0.747745519	0.889089469
AC004217.1	0				
AC004217.2	0				
AC004221.1	1.44380617	-0.060247458	0.303266967	0.528969364	0.758335223
AC004223.1	0				
AC004223.2	0.558357101	0.046454469	0.312098285	0.442117212	
AC004223.3	0.115957682	0.017491183	0.312253601	0.786285845	
AC004223.4	0.655305456	-0.000937896	0.305038769	0.987195357	
AC004224.1	0.048476503	0.012586314	0.311841329	0.971089085	
AC004224.2	6.962504269	0.056930758	0.310589585	0.437377147	0.68837266
AC004231.1	0.54790052	-0.008543154	0.30965212	0.841729911	
AC004231.3	0				
AC004232.1	0				
AC004232.2	2.26428578	0.004671708	0.289434165	0.967124484	0.987963112
AC004233.1	0				
AC004233.2	0				
AC004233.3	0.460527695	0.004112996	0.308546618	0.956961216	
AC004241.1	16.06272193	-0.041042466	0.234462682	0.790100339	0.909524417
AC004241.2	0.763106793	0.075846513	0.322924293	0.215413387	
AC004241.3	4.879626707	0.37663653	0.513973866	0.05324116	0.197017649
AC004241.4	0.107054586	-0.004007604	0.311111007	0.923324634	
AC004241.5	1.010838317	0.074652904	0.314316312	0.345216417	
AC004253.1	0				
AC004253.2	0				
AC004257.1	0				
AC004263.1	0.631658894	0.029965418	0.309425324	0.557603004	
AC004263.2	1.381941468	-0.026893598	0.298122997	0.769902654	0.900179349
AC004264.1	0.200428344	-0.009058151	0.311310255	0.825698559	
AC004264.2	3.162578487	0.042474114	0.29887712	0.657005679	0.838565656
AC004381.1	0.06557795	-0.014581008	0.312034996	0.825967763	
AC004381.2	0				
AC004381.3	0				
AC004381.4	0.222702024	0.019959368	0.312576961	0.641361187	
AC004386.1	0				
AC004386.2	0				
AC004386.3	0				
AC004386.4	0				
AC004386.5	0				
AC004386.6	0				
AC004408.1	0.130311023	0.003707972	0.311019227	0.974498113	
AC004408.2	0.326528102	-0.012769159	0.310428633	0.732969204	
AC004415.1	0				
AC004448.1	0				
AC004448.2	0				
AC004448.3	0.032938258	0.011251929	0.311764239	0.971089085	
AC004448.4	0				
AC004448.5	0.08418878	-0.015339692	0.312106759	0.824347748	
AC004449.1	1.527558318	0.15347138	0.369040384	0.004152015	0.035785114
AC004453.1	0.890494433	0.0549318	0.312766534	0.364272567	
AC004461.1	0.048476503	0.012586314	0.311841329	0.971089085	
AC004461.2	2.14766919	-0.019063058	0.295554078	0.839451531	0.932536233
AC004464.1	0				
AC004466.1	9.07871654	0.276266735	0.376586727	0.116937112	0.322056813
AC004466.2	2.084979541	-0.034485855	0.298566677	0.708128382	0.870145103
AC004466.3	0.032938258	0.011251929	0.311764239	0.971089085	
AC004467.1	0				
AC004470.1	0				
AC004470.2	0.068965282	0.0138549	0.311931902	0.971089085	
AC004471.1	0.119875216	-0.014730133	0.312049079	0.827177369	
AC004471.2	0.192851505	-0.01819372	0.312429167	0.725124871	
AC004477.1	0.09911127	0.01176022	0.311792295	0.969861536	
AC004477.2	0.977532862	0.02580314	0.304094852	0.7346667	
AC004485.1	0				
AC004486.1	0				
AC004490.1	0.229455991	0.035166308	0.313800305	0.57126891	
AC004491.1	0.147641689	-0.015468138	0.312119943	0.825857636	
AC004492.1	5.899564044	0.159238257	0.327754449	0.230576337	0.483658458
AC004494.1	1.89560245	-0.018986828	0.301760345	0.800101854	0.912996991
AC004494.2	0				
AC004510.1	0				
AC004510.2	0				
AC004522.1	0				
AC004522.2	0				
AC004522.3	0.327114658	0.021980262	0.309873997	0.7713957	
AC004522.4	0.468657684	-0.003295693	0.309154556	0.871342529	
AC004522.5	3.890232955	0.063277503	0.279316961	0.639658537	0.827194969
AC004528.1	0.20858684	-0.014990791	0.312073466	0.82378913	
AC004528.2	1.407353116	-0.006098287	0.297834618	0.945193145	0.97745537
AC004540.1	1.115280787	0.046621302	0.309004694	0.511622502	
AC004540.2	0.045083047	0.012384388	0.311828219	0.971089085	
AC004542.1	0.076963252	0.010457699	0.311719626	0.968872125	
AC004542.2	0.338107934	0.011829083	0.310864898	0.802517734	
AC004542.3	0				
AC004542.4	0				
AC004542.5	0				
AC004542.6	0				
AC004543.1	0				
AC004549.1	0				
AC004551.1	0				
AC004554.1	0.575549159	-0.049453043	0.31294461	0.411356135	
AC004584.1	0				
AC004584.2	0				
AC004584.3	1.287738073	0.135372842	0.342868734	0.105185574	
AC004585.1	1.22831587	-0.101028691	0.330770941	0.109198595	
AC004585.2	0				
AC004590.1	0.286655774	0.010286697	0.310864558	0.961475349	
AC004593.1	0				
AC004593.2	0				
AC004594.1	0				
AC004596.1	0				
AC004597.1	0				
AC004623.1	0.296716092	0.004050297	0.31090758	0.952867333	
AC004636.1	0				
AC004637.1	0				
AC004672.1	0				
AC004672.2	0				
AC004674.1	0				
AC004678.1	2.119897697	0.050952556	0.3013486	0.587358868	0.796260388
AC004678.2	0.544252528	-0.013971341	0.307788054	0.785701676	
AC004687.1	0.099646967	-0.004527601	0.311130466	0.926724806	
